ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,data_source,ma_short,ma_long,signal,position,daily_ret,strategy_ret,strategy_nav,bh_nav,strategy_dd,bh_dd
000776.SZ,20251205,20.89,21.6,20.83,21.29,20.95,0.3399999999999998,1.6229116945107394,630412.0,,tushare_legacy_get_k_data,21.032,21.444000000000003,0,0.0,0.016229116945107425,0.0,0.8990203020838301,1.2560471976401177,0.13451243803562674,0.12853049529267313
000776.SZ,20251208,21.69,22.18,21.6,21.71,21.29,0.4200000000000017,1.972757162987326,887818.0,,tushare_legacy_get_k_data,21.142,21.396,0,0.0,0.019727571629873264,0.0,0.8990203020838301,1.2808259587020647,0.13451243803562674,0.11133851821530916
000776.SZ,20251209,21.56,21.66,21.05,21.16,21.71,-0.5500000000000007,-2.533394748963614,585379.0,,tushare_legacy_get_k_data,21.194,21.296,0,0.0,-0.025333947489636133,-0.0,0.8990203020838301,1.2483775811209437,0.13451243803562674,0.1338518215309049
000776.SZ,20251210,21.05,21.14,20.81,21.01,21.16,-0.1499999999999985,-0.7088846880907305,427247.0,,tushare_legacy_get_k_data,21.223999999999997,21.179333333333332,1,0.0,-0.0070888468809072736,-0.0,0.8990203020838301,1.23952802359882,0.13451243803562674,0.13999181334424893
000776.SZ,20251211,21.02,21.05,20.61,20.61,21.01,-0.4000000000000021,-1.9038553069966784,357765.0,,tushare_legacy_get_k_data,21.156,21.08,0,1.0,-0.019038553069966824,-0.019038553069966824,0.8819042563516295,1.2159292035398228,0.1509900689154816,0.15636512484650034
000776.SZ,20251212,20.62,21.03,20.58,20.95,20.61,0.3399999999999998,1.649684619116933,455381.0,,tushare_legacy_get_k_data,21.088,21.07,0,1.0,0.016496846191169423,0.016496846191169423,0.896452895224,1.2359882005899705,0.1369840826676051,0.14244781006958662
000776.SZ,20251215,20.78,21.68,20.72,21.34,20.95,0.3900000000000005,1.861575178997616,643514.0,,tushare_legacy_get_k_data,21.014000000000003,21.081999999999997,-1,1.0,0.018615751789976098,0.018615751789976098,0.9131410398128954,1.2589970501474925,0.12091839255974668,0.1264838313548916
000776.SZ,20251216,21.2,21.47,21.18,21.18,21.34,-0.1600000000000001,-0.7497656982193072,357930.0,,tushare_legacy_get_k_data,21.017999999999997,21.095333333333333,0,0.0,-0.007497656982193068,-0.0,0.9131410398128954,1.2495575221238937,0.12091839255974668,0.13303315595579213
000776.SZ,20251217,21.21,22.35,21.17,21.83,21.18,0.6499999999999986,3.0689329556185014,990936.0,,tushare_legacy_get_k_data,21.182,21.14466666666667,1,0.0,0.030689329556184974,0.0,0.9131410398128954,1.2879056047197637,0.12091839255974668,0.10642652476463388
000776.SZ,20251218,21.73,21.89,21.47,21.62,21.83,-0.2099999999999973,-0.9619789280806108,496575.0,,tushare_legacy_get_k_data,21.384,21.18066666666667,0,1.0,-0.00961978928080609,-0.00961978928080609,0.9043568154262391,1.2755162241887905,0.12937497238395423,0.1150225133033157
000776.SZ,20251219,21.61,21.86,21.47,21.65,21.62,0.0299999999999975,0.1387604070305161,446908.0,,tushare_legacy_get_k_data,21.524,21.21466666666667,0,1.0,0.0013876040703051373,0.0013876040703051373,0.9056117046243328,1.277286135693215,0.12816688955192457,0.11379451494064696
000776.SZ,20251222,21.6,21.76,21.56,21.6,21.65,-0.0499999999999971,-0.2309468822170769,299846.0,,tushare_legacy_get_k_data,21.576,21.243999999999996,0,1.0,-0.002309468822170757,-0.002309468822170757,0.90352022262751,1.2743362831858407,0.1301803609386406,0.11584117887842815
000776.SZ,20251223,21.61,22.26,21.48,21.91,21.6,0.3099999999999987,1.4351851851851791,714685.0,,tushare_legacy_get_k_data,21.722,21.311333333333334,0,1.0,0.014351851851851727,0.014351851851851727,0.9164874110078121,1.2926253687315632,0.11769683834100086,0.10315186246418362
000776.SZ,20251224,21.88,22.13,21.82,22.1,21.91,0.1900000000000012,0.8671839342765919,425565.0,,tushare_legacy_get_k_data,21.776000000000003,21.394000000000002,0,1.0,0.00867183934276583,0.00867183934276583,0.9244350425957392,1.3038348082595868,0.11004564707147979,0.09537453950061425
000776.SZ,20251225,22.03,22.2,21.98,22.0,22.1,-0.1000000000000014,-0.4524886877828118,349671.0,,tushare_legacy_get_k_data,21.852,21.464000000000002,0,1.0,-0.004524886877828149,-0.004524886877828149,0.9202520786020932,1.2979351032448374,0.11407258984491198,0.09946786737617708
000776.SZ,20251226,22.0,22.56,21.95,22.2,22.0,0.1999999999999993,0.909090909090906,633532.0,,tushare_legacy_get_k_data,21.962,21.52466666666667,0,1.0,0.009090909090909038,0.009090909090909038,0.928618006589385,1.3097345132743359,0.1060187042980476,0.09128121162505143
000776.SZ,20251229,22.15,22.23,21.91,21.94,22.2,-0.259999999999998,-1.1711711711711623,383837.0,,tushare_legacy_get_k_data,22.03,21.540000000000003,0,1.0,-0.011711711711711592,-0.011711711711711592,0.9177423002059059,1.294395280235988,0.1164887555089712,0.10192386410151477
000776.SZ,20251230,21.89,22.2,21.85,21.96,21.94,0.0199999999999995,0.0911577028258868,395812.0,,tushare_legacy_get_k_data,22.04,21.59333333333333,0,1.0,0.0009115770282588365,0.0009115770282588365,0.918578893004635,1.2955752212389378,0.11568336695428472,0.1011051985264022
000776.SZ,20251231,21.92,22.48,21.92,22.02,21.96,0.0599999999999987,0.2732240437158411,464152.0,,tushare_legacy_get_k_data,22.024,21.660666666666668,0,1.0,0.002732240437158362,0.002732240437158362,0.9210886714008224,1.2991150442477872,0.1132672012902256,0.09864920180106451
000776.SZ,20260105,22.08,23.06,22.08,22.87,22.02,0.8500000000000014,3.860127157129888,975154.0,,tushare_legacy_get_k_data,22.198,21.811333333333334,0,1.0,0.03860127157129889,0.03860127157129889,0.9566438653468124,1.3492625368731561,0.07903818771605164,0.0638559148587804
000776.SZ,20260106,22.73,24.1,22.73,23.78,22.87,0.91,3.979011805859205,1121459.0,,tushare_legacy_get_k_data,22.514,22.0,0,1.0,0.039790118058592006,0.039790118058592006,0.9947088376889899,1.4029498525073743,0.04239300847781857,0.02660663119115869
000776.SZ,20260107,23.79,23.8,22.95,23.16,23.78,-0.620000000000001,-2.607232968881417,848717.0,,tushare_legacy_get_k_data,22.758,22.121333333333336,0,1.0,-0.026072329688814122,-0.026072329688814122,0.9687744609283855,1.3663716814159288,0.06736005367309827,0.051985264019648314
000776.SZ,20260108,22.88,22.88,22.11,22.26,23.16,-0.8999999999999986,-3.8860103626942943,1295057.0,,tushare_legacy_get_k_data,22.818,22.193333333333335,0,1.0,-0.03886010362694292,-0.03886010362694292,0.9311277849855727,1.3132743362831856,0.10360253863398805,0.08882521489971373
000776.SZ,20260109,22.23,22.44,22.1,22.31,22.26,0.0499999999999971,0.2246181491464382,747853.0,,tushare_legacy_get_k_data,22.875999999999998,22.22533333333333,0,1.0,0.002246181491464272,0.002246181491464272,0.9332192669823954,1.31622418879056,0.10158906724727212,0.08677855096193243
000776.SZ,20260112,22.31,22.74,22.15,22.71,22.31,0.4000000000000021,1.792917974002699,979913.0,,tushare_legacy_get_k_data,22.844,22.298,0,1.0,0.017929179740026946,0.017929179740026946,0.949951122956979,1.339823008849557,0.08548129615354316,0.07040523945968102
000776.SZ,20260113,22.75,23.48,22.63,22.86,22.71,0.1499999999999985,0.6605019815059382,970760.0,,tushare_legacy_get_k_data,22.660000000000004,22.378666666666668,0,1.0,0.006605019815059343,0.006605019815059343,0.9562255689474477,1.3486725663716808,0.07944088199339505,0.06426524764633701
000776.SZ,20260114,22.83,23.32,22.42,22.49,22.86,-0.370000000000001,-1.618547681539812,1060952.0,,tushare_legacy_get_k_data,22.526000000000003,22.438000000000002,0,1.0,-0.01618547681539817,-0.01618547681539817,0.9407486021709579,1.3268436578171083,0.09434057025509424,0.07941056078591957
000776.SZ,20260115,22.4,22.89,22.38,22.55,22.49,0.0600000000000022,0.2667852378835139,669078.0,,tushare_legacy_get_k_data,22.584,22.480666666666668,0,1.0,0.002667852378835045,0.002667852378835045,0.9432583805671454,1.3303834808259578,0.09192440459103501,0.07695456406058188
000776.SZ,20260116,22.65,22.88,22.35,22.56,22.55,0.009999999999998,0.0443458980044257,557020.0,,tushare_legacy_get_k_data,22.634,22.51133333333333,0,1.0,0.0004434589800441646,0.0004434589800441646,0.9436766769665098,1.3309734513274325,0.09152171031369194,0.07654523127302582
000776.SZ,20260119,22.4,22.49,22.16,22.43,22.56,-0.129999999999999,-0.5762411347517686,498568.0,,tushare_legacy_get_k_data,22.578,22.54,0,1.0,-0.005762411347517649,-0.005762411347517649,0.9382388237747702,1.3233038348082586,0.09675673591915379,0.08186655751125738
000776.SZ,20260120,22.38,22.92,22.35,22.77,22.43,0.3399999999999998,1.5158270173874269,588823.0,,tushare_legacy_get_k_data,22.560000000000002,22.578,-1,1.0,0.015158270173874167,0.015158270173874167,0.9524609013531661,1.3433628318584059,0.08306513048948438,0.06794924273434388
000776.SZ,20260121,22.66,22.86,22.47,22.57,22.77,-0.1999999999999993,-0.8783487044356578,504191.0,,tushare_legacy_get_k_data,22.576,22.62,0,0.0,-0.008783487044356608,-0.0,0.9524609013531661,1.3315634218289074,0.08306513048948438,0.07613589848546953
000776.SZ,20260122,22.56,22.9,22.49,22.59,22.57,0.0199999999999995,0.0886132033672998,445482.0,,tushare_legacy_get_k_data,22.584,22.662,0,0.0,0.0008861320336730483,0.0,0.9524609013531661,1.3327433628318572,0.08306513048948438,0.07531723291035697
000776.SZ,20260123,22.7,22.74,22.25,22.31,22.59,-0.2800000000000011,-1.239486498450647,580612.0,,tushare_legacy_get_k_data,22.534,22.68133333333333,0,0.0,-0.012394864984506482,-0.0,0.9524609013531661,1.3162241887905592,0.08306513048948438,0.08677855096193299
000776.SZ,20260126,22.22,22.95,22.19,22.71,22.31,0.4000000000000021,1.792917974002699,901796.0,,tushare_legacy_get_k_data,22.59,22.670666666666662,0,0.0,0.017929179740026946,0.0,0.9524609013531661,1.3398230088495564,0.08306513048948438,0.07040523945968158
000776.SZ,20260127,22.66,22.83,22.32,22.51,22.71,-0.1999999999999993,-0.8806693086745896,521677.0,,tushare_legacy_get_k_data,22.538000000000004,22.586000000000002,0,0.0,-0.008806693086745865,-0.0,0.9524609013531661,1.328023598820058,0.08306513048948438,0.07859189521080712
000776.SZ,20260128,22.5,22.92,22.47,22.57,22.51,0.0599999999999987,0.2665482007996389,670270.0,,tushare_legacy_get_k_data,22.538,22.546666666666667,0,0.0,0.0026654820079963226,0.0,0.9524609013531661,1.3315634218289074,0.08306513048948438,0.07613589848546953
000776.SZ,20260129,22.51,23.03,22.22,22.91,22.57,0.3399999999999998,1.5064244572441288,978413.0,,tushare_legacy_get_k_data,22.601999999999997,22.589999999999996,1,0.0,0.015064244572441376,0.0,0.9524609013531661,1.351622418879055,0.08306513048948438,0.06221858370855571
000776.SZ,20260130,22.82,23.1,22.39,22.49,22.91,-0.4200000000000017,-1.833260584897432,665366.0,,tushare_legacy_get_k_data,22.637999999999998,22.601999999999997,0,1.0,-0.018332605848974337,-0.018332605848974337,0.9349998110620996,1.3268436578171081,0.09987493604140141,0.07941056078591968
000776.SZ,20260202,22.35,22.66,21.66,21.72,22.49,-0.7699999999999996,-3.4237438861716303,855141.0,,tushare_legacy_get_k_data,22.44,22.536,-1,1.0,-0.03423743886171626,-0.03423743886171626,0.9029878121951447,1.281415929203539,0.13069291288658236,0.11092918542775343
000776.SZ,20260203,21.8,21.86,21.1,21.43,21.72,-0.2899999999999991,-1.3351749539594804,741527.0,,tushare_legacy_get_k_data,22.223999999999997,22.44066666666667,0,0.0,-0.013351749539594837,-0.0,0.9029878121951447,1.264306784660766,0.13069291288658236,0.12279983626688562
000776.SZ,20260204,21.3,21.68,21.22,21.62,21.43,0.1900000000000012,0.8866075594960396,386302.0,,tushare_legacy_get_k_data,22.034,22.38266666666667,0,0.0,0.008866075594960332,0.0,0.9029878121951447,1.2755162241887896,0.13069291288658236,0.11502251330331625
000776.SZ,20260205,21.62,21.73,21.28,21.47,21.62,-0.1500000000000021,-0.6938020351526463,336966.0,,tushare_legacy_get_k_data,21.746,22.31066666666667,0,0.0,-0.006938020351526464,-0.0,0.9029878121951447,1.2666666666666657,0.13069291288658236,0.12116250511666049
000776.SZ,20260206,21.36,21.5,21.25,21.29,21.47,-0.1799999999999997,-0.8383791336748939,281521.0,,tushare_legacy_get_k_data,21.506,22.226000000000003,0,0.0,-0.008383791336748936,-0.0,0.9029878121951447,1.256047197640117,0.13069291288658236,0.12853049529267357
000776.SZ,20260209,21.41,21.9,21.4,21.71,21.29,0.4200000000000017,1.972757162987326,432863.0,,tushare_legacy_get_k_data,21.503999999999998,22.178,0,0.0,0.019727571629873264,0.0,0.9029878121951447,1.280825958702064,0.13069291288658236,0.11133851821530971
000776.SZ,20260210,21.75,21.76,21.55,21.62,21.71,-0.0899999999999998,-0.4145555043758629,188230.0,,tushare_legacy_get_k_data,21.542,22.101333333333333,0,0.0,-0.004145555043758575,-0.0,0.9029878121951447,1.2755162241887898,0.13069291288658236,0.11502251330331614
000776.SZ,20260211,21.64,21.65,21.4,21.5,21.62,-0.120000000000001,-0.5550416281221138,252795.0,,tushare_legacy_get_k_data,21.518,22.029999999999998,0,0.0,-0.005550416281221104,-0.0,0.9029878121951447,1.2684365781710907,0.13069291288658236,0.11993450675399153
