ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,data_source
600036.SH,20250730,42.154,42.734,41.914,42.404,42.124,0.28000000000000114,0.6647042066280532,725461.0,,tushare_legacy_get_k_data
600036.SH,20250731,42.384,42.544,41.834,42.464,42.404,0.05999999999999517,0.14149608527496266,733195.0,,tushare_legacy_get_k_data
600036.SH,20250801,42.484,42.954,42.334,42.404,42.464,-0.05999999999999517,-0.14129615674452517,594621.0,,tushare_legacy_get_k_data
600036.SH,20250804,42.294,42.954,42.294,42.884,42.404,0.4799999999999969,1.131968682199785,498008.0,,tushare_legacy_get_k_data
600036.SH,20250805,42.764,43.384,42.624,43.234,42.884,0.3500000000000014,0.8161552094021113,555258.0,,tushare_legacy_get_k_data
600036.SH,20250806,43.274,43.714,43.094,43.104,43.234,-0.13000000000000256,-0.30068927233196685,430296.0,,tushare_legacy_get_k_data
600036.SH,20250807,43.104,43.584,42.944,43.134,43.104,0.030000000000001137,0.06959910913140575,440643.0,,tushare_legacy_get_k_data
600036.SH,20250808,43.184,43.264,42.514,42.514,43.134,-0.6199999999999974,-1.4373811842166213,456422.0,,tushare_legacy_get_k_data
600036.SH,20250811,42.514,42.614,42.084,42.084,42.514,-0.4299999999999997,-1.0114315284376905,536724.0,,tushare_legacy_get_k_data
600036.SH,20250812,42.114,42.464,41.984,41.984,42.084,-0.10000000000000142,-0.23761999809904338,562252.0,,tushare_legacy_get_k_data
600036.SH,20250813,42.124,42.234,41.474,41.524,41.984,-0.46000000000000085,-1.09565548780488,876737.0,,tushare_legacy_get_k_data
600036.SH,20250814,41.534,41.924,41.484,41.764,41.524,0.240000000000002,0.5779790000963346,676352.0,,tushare_legacy_get_k_data
600036.SH,20250815,41.644,41.724,41.284,41.284,41.764,-0.480000000000004,-1.1493151996935254,932957.0,,tushare_legacy_get_k_data
600036.SH,20250818,41.084,41.654,40.874,41.494,41.284,0.21000000000000085,0.5086716403449298,926397.0,,tushare_legacy_get_k_data
600036.SH,20250819,41.434,41.684,41.274,41.384,41.494,-0.10999999999999943,-0.2650985684677289,574119.0,,tushare_legacy_get_k_data
600036.SH,20250820,41.284,41.614,41.134,41.434,41.384,0.04999999999999716,0.12081964044074317,547240.0,,tushare_legacy_get_k_data
600036.SH,20250821,41.484,41.574,41.214,41.454,41.434,0.020000000000003126,0.04826953709514681,578540.0,,tushare_legacy_get_k_data
600036.SH,20250822,41.454,41.464,41.024,41.244,41.454,-0.21000000000000085,-0.5065856129685937,794496.0,,tushare_legacy_get_k_data
600036.SH,20250825,41.304,41.854,41.094,41.854,41.244,0.6099999999999994,1.4790030064979134,907390.0,,tushare_legacy_get_k_data
600036.SH,20250826,41.874,42.004,41.404,41.504,41.854,-0.3500000000000014,-0.8362402637740752,755722.0,,tushare_legacy_get_k_data
600036.SH,20250827,41.484,41.644,40.984,40.984,41.504,-0.519999999999996,-1.252891287586729,758141.0,,tushare_legacy_get_k_data
600036.SH,20250828,41.004,41.284,40.584,40.964,40.984,-0.020000000000003126,-0.048799531524504995,822426.0,,tushare_legacy_get_k_data
600036.SH,20250829,40.964,41.974,40.874,40.874,40.964,-0.0899999999999963,-0.21970510692314302,1360879.0,,tushare_legacy_get_k_data
600036.SH,20250901,40.604,40.624,39.864,39.964,40.874,-0.9100000000000037,-2.226354161569711,1276333.0,,tushare_legacy_get_k_data
600036.SH,20250902,39.844,41.484,39.844,41.424,39.964,1.4600000000000009,3.653287959163249,1452141.0,,tushare_legacy_get_k_data
600036.SH,20250903,41.424,41.554,40.684,40.884,41.424,-0.5399999999999991,-1.3035921205098473,818406.0,,tushare_legacy_get_k_data
600036.SH,20250904,40.794,41.304,40.124,41.034,40.884,0.14999999999999858,0.36689169357205403,935363.0,,tushare_legacy_get_k_data
600036.SH,20250905,40.984,41.004,40.514,40.744,41.034,-0.28999999999999915,-0.706731003558023,572328.0,,tushare_legacy_get_k_data
600036.SH,20250908,40.684,41.084,40.354,40.414,40.744,-0.3299999999999983,-0.8099352051835811,851682.0,,tushare_legacy_get_k_data
600036.SH,20250909,40.404,40.864,40.384,40.814,40.414,0.3999999999999986,0.9897560251397994,589527.0,,tushare_legacy_get_k_data
600036.SH,20250910,40.784,41.134,40.544,40.984,40.814,0.1700000000000017,0.4165237418532898,471387.0,,tushare_legacy_get_k_data
600036.SH,20250911,41.114,41.314,40.764,41.284,40.984,0.29999999999999716,0.7319929728674535,650731.0,,tushare_legacy_get_k_data
600036.SH,20250912,41.364,41.454,40.404,40.524,41.284,-0.759999999999998,-1.8409068888673532,823140.0,,tushare_legacy_get_k_data
600036.SH,20250915,40.464,40.774,40.094,40.204,40.524,-0.3200000000000003,-0.7896555127825493,699491.0,,tushare_legacy_get_k_data
600036.SH,20250916,40.304,40.414,39.644,39.734,40.204,-0.46999999999999886,-1.1690379066759498,859051.0,,tushare_legacy_get_k_data
600036.SH,20250917,39.744,40.174,39.684,39.744,39.734,0.00999999999999801,0.02516736296370365,572363.0,,tushare_legacy_get_k_data
600036.SH,20250918,39.764,39.824,38.784,38.814,39.744,-0.9299999999999997,-2.339975845410627,1003522.0,,tushare_legacy_get_k_data
600036.SH,20250919,38.784,39.514,38.534,38.984,38.814,0.1700000000000017,0.43798629360540453,836563.0,,tushare_legacy_get_k_data
600036.SH,20250922,39.134,39.354,38.784,38.904,38.984,-0.0799999999999983,-0.20521239482864329,656110.0,,tushare_legacy_get_k_data
600036.SH,20250923,38.964,39.734,38.614,39.534,38.904,0.6299999999999955,1.6193707587908581,938851.0,,tushare_legacy_get_k_data
600036.SH,20250924,39.484,39.874,39.274,39.304,39.534,-0.22999999999999687,-0.5817777103252817,643900.0,,tushare_legacy_get_k_data
600036.SH,20250925,39.304,39.344,38.794,38.804,39.304,-0.5,-1.27213515163851,666949.0,,tushare_legacy_get_k_data
600036.SH,20250926,38.794,38.984,38.284,38.784,38.804,-0.020000000000003126,-0.051541078239364824,682767.0,,tushare_legacy_get_k_data
600036.SH,20250929,38.754,39.274,38.344,38.664,38.784,-0.11999999999999744,-0.30940594059405285,835551.0,,tushare_legacy_get_k_data
600036.SH,20250930,38.634,38.774,38.394,38.394,38.664,-0.2700000000000031,-0.6983240223463767,700025.0,,tushare_legacy_get_k_data
600036.SH,20251009,38.194,38.424,37.804,38.314,38.394,-0.0799999999999983,-0.2083658905037201,972320.0,,tushare_legacy_get_k_data
600036.SH,20251010,38.284,38.634,38.114,38.164,38.314,-0.14999999999999858,-0.3915018009082805,955050.0,,tushare_legacy_get_k_data
600036.SH,20251013,37.744,38.284,37.684,38.094,38.164,-0.07000000000000028,-0.18341892883345634,1065936.0,,tushare_legacy_get_k_data
600036.SH,20251014,38.074,39.474,37.814,39.244,38.094,1.1499999999999986,3.0188481125636546,1733827.0,,tushare_legacy_get_k_data
600036.SH,20251015,39.234,39.554,38.994,39.484,39.244,0.240000000000002,0.6115584547956426,1062767.0,,tushare_legacy_get_k_data
600036.SH,20251016,39.484,39.974,39.114,39.914,39.484,0.4299999999999997,1.0890487285989254,1062488.0,,tushare_legacy_get_k_data
600036.SH,20251017,39.864,40.204,39.364,39.574,39.914,-0.3400000000000034,-0.8518314375908288,829827.0,,tushare_legacy_get_k_data
600036.SH,20251020,39.594,39.774,39.084,39.404,39.574,-0.1699999999999946,-0.4295749734674145,649477.0,,tushare_legacy_get_k_data
600036.SH,20251021,39.474,40.084,39.474,39.964,39.404,0.5599999999999952,1.4211755151761118,759931.0,,tushare_legacy_get_k_data
600036.SH,20251022,39.964,40.184,39.714,39.934,39.964,-0.030000000000001137,-0.0750675608047271,551334.0,,tushare_legacy_get_k_data
600036.SH,20251023,39.934,40.474,39.764,40.224,39.934,0.28999999999999915,0.7261982270746711,713174.0,,tushare_legacy_get_k_data
600036.SH,20251024,40.334,40.434,39.834,39.934,40.224,-0.28999999999999915,-0.7209626093874284,698832.0,,tushare_legacy_get_k_data
600036.SH,20251027,39.884,39.954,39.404,39.574,39.934,-0.35999999999999943,-0.901487454299593,988949.0,,tushare_legacy_get_k_data
600036.SH,20251028,39.604,39.704,39.214,39.584,39.574,0.010000000000005116,0.025269116086332227,705951.0,,tushare_legacy_get_k_data
600036.SH,20251029,39.514,39.514,38.674,38.754,39.584,-0.8300000000000054,-2.0968067906224874,910988.0,,tushare_legacy_get_k_data
600036.SH,20251030,38.784,39.344,38.714,39.184,38.754,0.4299999999999997,1.1095628838313458,1131538.0,,tushare_legacy_get_k_data
600036.SH,20251031,39.244,39.284,38.824,38.874,39.184,-0.30999999999999517,-0.7911392405063169,702607.0,,tushare_legacy_get_k_data
600036.SH,20251103,39.124,39.954,39.044,39.774,38.874,0.8999999999999986,2.315172094459018,921981.0,,tushare_legacy_get_k_data
600036.SH,20251104,39.824,41.094,39.794,40.994,39.774,1.2199999999999989,3.067330416855229,1340036.0,,tushare_legacy_get_k_data
600036.SH,20251105,41.084,41.454,40.734,40.784,40.994,-0.21000000000000085,-0.5122700883056078,731714.0,,tushare_legacy_get_k_data
600036.SH,20251106,40.634,40.874,40.294,40.324,40.784,-0.46000000000000085,-1.1278932914868598,871973.0,,tushare_legacy_get_k_data
600036.SH,20251107,40.384,40.704,40.264,40.494,40.324,0.1700000000000017,0.4215851602023651,593191.0,,tushare_legacy_get_k_data
600036.SH,20251110,40.434,40.864,40.264,40.704,40.494,0.21000000000000085,0.5185953474588849,532369.0,,tushare_legacy_get_k_data
600036.SH,20251111,40.674,41.024,40.504,40.944,40.704,0.240000000000002,0.5896226415094389,544671.0,,tushare_legacy_get_k_data
600036.SH,20251112,41.104,41.344,40.914,40.914,40.944,-0.030000000000001137,-0.07327080890973314,587929.0,,tushare_legacy_get_k_data
600036.SH,20251113,40.954,41.284,40.724,41.194,40.914,0.28000000000000114,0.6843623209659313,587980.0,,tushare_legacy_get_k_data
600036.SH,20251114,41.224,41.574,41.164,41.234,41.194,0.03999999999999915,0.09710151963878028,518210.0,,tushare_legacy_get_k_data
600036.SH,20251117,41.084,41.184,40.484,40.634,41.234,-0.6000000000000014,-1.4551098607944934,610674.0,,tushare_legacy_get_k_data
600036.SH,20251118,40.544,40.894,40.424,40.864,40.634,0.22999999999999687,0.5660284490820418,517439.0,,tushare_legacy_get_k_data
600036.SH,20251119,40.864,41.484,40.784,41.204,40.864,0.3400000000000034,0.8320281910728353,511696.0,,tushare_legacy_get_k_data
600036.SH,20251120,41.204,41.774,41.034,41.214,41.204,0.00999999999999801,0.024269488399179716,585852.0,,tushare_legacy_get_k_data
600036.SH,20251121,41.224,41.534,40.744,40.984,41.214,-0.22999999999999687,-0.5580627941961394,791264.0,,tushare_legacy_get_k_data
600036.SH,20251124,41.084,41.194,40.494,40.614,40.984,-0.37000000000000455,-0.9027913332032123,678549.0,,tushare_legacy_get_k_data
600036.SH,20251125,40.644,41.284,40.424,41.234,40.614,0.6200000000000045,1.5265671935785803,666409.0,,tushare_legacy_get_k_data
600036.SH,20251126,41.324,41.614,40.954,41.234,41.234,0.0,0.0,451072.0,,tushare_legacy_get_k_data
600036.SH,20251127,41.164,41.374,40.584,41.174,41.234,-0.060000000000002274,-0.1455109860794545,621434.0,,tushare_legacy_get_k_data
600036.SH,20251128,41.084,41.104,40.804,40.934,41.174,-0.240000000000002,-0.5828921163841307,494658.0,,tushare_legacy_get_k_data
600036.SH,20251201,41.064,41.454,40.914,41.424,40.934,0.490000000000002,1.197048907998246,567919.0,,tushare_legacy_get_k_data
600036.SH,20251202,41.424,41.634,41.204,41.364,41.424,-0.060000000000002274,-0.14484356894554432,406735.0,,tushare_legacy_get_k_data
600036.SH,20251203,41.254,41.564,40.984,40.994,41.364,-0.36999999999999744,-0.8944976307900528,468960.0,,tushare_legacy_get_k_data
600036.SH,20251204,41.034,41.404,40.994,41.204,40.994,0.21000000000000085,0.5122700883056078,361207.0,,tushare_legacy_get_k_data
600036.SH,20251205,41.234,41.534,40.894,41.434,41.204,0.22999999999999687,0.558198233181237,548906.0,,tushare_legacy_get_k_data
600036.SH,20251208,41.424,41.624,41.054,41.164,41.434,-0.269999999999996,-0.6516387507843704,580039.0,,tushare_legacy_get_k_data
600036.SH,20251209,41.164,41.284,40.814,41.024,41.164,-0.14000000000000057,-0.3401030026236531,465939.0,,tushare_legacy_get_k_data
600036.SH,20251210,41.064,41.064,39.534,39.684,41.024,-1.3400000000000034,-3.266380655226217,1083157.0,,tushare_legacy_get_k_data
600036.SH,20251211,39.844,40.034,39.394,39.664,39.684,-0.01999999999999602,-0.050398145348241156,846231.0,,tushare_legacy_get_k_data
600036.SH,20251212,39.734,39.814,39.464,39.724,39.664,0.05999999999999517,0.15127067365872118,717625.0,,tushare_legacy_get_k_data
600036.SH,20251215,39.724,40.264,39.614,39.784,39.724,0.060000000000002274,0.1510421911187249,562666.0,,tushare_legacy_get_k_data
600036.SH,20251216,39.764,40.114,39.414,39.684,39.784,-0.10000000000000142,-0.2513573295797341,566176.0,,tushare_legacy_get_k_data
600036.SH,20251217,39.584,39.834,39.214,39.504,39.684,-0.17999999999999972,-0.45358330813425995,631267.0,,tushare_legacy_get_k_data
600036.SH,20251218,39.524,40.404,39.384,40.354,39.504,0.8500000000000014,2.1516808424463383,768119.0,,tushare_legacy_get_k_data
600036.SH,20251219,40.354,40.464,39.894,39.974,40.354,-0.38000000000000256,-0.9416662536551582,573823.0,,tushare_legacy_get_k_data
600036.SH,20251222,40.064,40.114,39.694,39.754,39.974,-0.21999999999999886,-0.5503577325261392,524740.0,,tushare_legacy_get_k_data
600036.SH,20251223,39.724,40.024,39.644,39.894,39.754,0.14000000000000057,0.3521658197917205,606510.0,,tushare_legacy_get_k_data
600036.SH,20251224,39.914,39.974,39.534,39.814,39.894,-0.0799999999999983,-0.20053140823181004,536305.0,,tushare_legacy_get_k_data
600036.SH,20251225,39.914,40.064,39.684,39.764,39.814,-0.04999999999999716,-0.12558396543928557,499214.0,,tushare_legacy_get_k_data
600036.SH,20251226,39.774,39.864,39.604,39.684,39.764,-0.0800000000000054,-0.20118700331959913,508810.0,,tushare_legacy_get_k_data
600036.SH,20251229,39.644,39.914,39.404,39.854,39.684,0.1700000000000017,0.4283842354601394,682551.0,,tushare_legacy_get_k_data
600036.SH,20251230,39.884,40.464,39.764,40.264,39.854,0.4100000000000037,1.0287549555879052,834783.0,,tushare_legacy_get_k_data
600036.SH,20251231,40.224,40.314,39.904,40.084,40.264,-0.17999999999999972,-0.4470494734750638,554142.0,,tushare_legacy_get_k_data
600036.SH,20260105,40.464,40.784,40.254,40.334,40.084,0.25,0.6236902504740046,840830.0,,tushare_legacy_get_k_data
600036.SH,20260106,40.434,40.774,40.074,40.714,40.334,0.37999999999999545,0.9421331878811806,923715.0,,tushare_legacy_get_k_data
600036.SH,20260107,40.734,41.004,40.124,40.134,40.714,-0.5799999999999983,-1.424571400501052,880560.0,,tushare_legacy_get_k_data
600036.SH,20260108,40.184,40.234,39.284,39.564,40.134,-0.5700000000000003,-1.420242188667963,1115727.0,,tushare_legacy_get_k_data
600036.SH,20260109,39.524,39.744,39.104,39.284,39.564,-0.28000000000000114,-0.7077140835102648,985471.0,,tushare_legacy_get_k_data
600036.SH,20260112,39.284,39.414,38.984,39.104,39.284,-0.17999999999999972,-0.45820181244272407,1186641.0,,tushare_legacy_get_k_data
600036.SH,20260113,39.184,39.364,39.014,39.114,39.104,0.00999999999999801,0.025572831423890167,1159365.0,,tushare_legacy_get_k_data
600036.SH,20260114,39.114,39.154,38.044,38.054,39.114,-1.0599999999999952,-2.7100271002709904,1917744.0,,tushare_legacy_get_k_data
600036.SH,20260115,38.094,38.404,37.984,38.094,38.054,0.03999999999999915,0.10511378567298878,1217271.0,,tushare_legacy_get_k_data
600036.SH,20260116,38.487,38.497,37.647,37.717,38.094,-0.37700000000000244,-0.9896571638578316,1525245.0,,tushare_legacy_get_k_data
600036.SH,20260119,37.727,37.917,37.497,37.547,37.717,-0.1700000000000017,-0.45072513720603896,988703.0,,tushare_legacy_get_k_data
600036.SH,20260120,37.567,38.127,37.507,37.727,37.547,0.17999999999999972,0.47939915306149555,1113873.0,,tushare_legacy_get_k_data
600036.SH,20260121,37.917,37.937,37.177,37.237,37.727,-0.4899999999999949,-1.2988045696715746,1215000.0,,tushare_legacy_get_k_data
