ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,data_source,rsi14,macd_dif,macd_dea,macd_hist,bb_middle,bb_upper,bb_lower,kdj_k,kdj_d,kdj_j
000776.SZ,20251127,21.02,21.38,21.0,21.08,21.09,-0.0100000000000015,-0.0474158368895285,296802.0,,tushare_legacy_get_k_data,38.9942047121229,-0.3771447285622216,-0.12865388911492745,-0.4969816788945883,22.3405,23.980798448453744,20.700201551546254,9.343155287700103,14.260234376949109,-0.49100289079790826
000776.SZ,20251128,21.01,21.2,20.89,21.14,21.08,0.0600000000000022,0.2846299810246787,319893.0,,tushare_legacy_get_k_data,39.71542362619089,-0.4020695836724215,-0.18333702802642626,-0.4374651112919905,22.269,23.985926323404637,20.55207367659536,9.737542121624648,12.752670291840955,3.707285781192031
000776.SZ,20251201,21.06,21.23,20.99,21.16,21.14,0.0199999999999995,0.0946073793755892,390043.0,,tushare_legacy_get_k_data,39.97018083283963,-0.4154201729049447,-0.22975365700212996,-0.3713330318056295,22.206,23.987397204443685,20.424602795556314,10.270372210637765,11.925237598106557,6.960641435700179
000776.SZ,20251202,21.15,21.15,20.77,20.9,21.16,-0.2600000000000015,-1.2287334593572852,418229.0,,tushare_legacy_get_k_data,37.73752532424656,-0.4418866439799416,-0.2721802543976923,-0.33941277916449863,22.139499999999998,24.009446255912124,20.269553744087872,8.526501370399323,10.792325522204145,3.9948530667896804
000776.SZ,20251203,21.25,21.25,20.75,20.86,20.9,-0.0399999999999991,-0.1913875598086083,370803.0,,tushare_legacy_get_k_data,37.39148268298999,-0.4607776211016059,-0.309899727738475,-0.3017557867262618,22.0715,24.021969430675544,20.121030569324457,8.441226477509312,10.0086258406392,5.30642775124954
000776.SZ,20251204,20.77,21.05,20.76,20.95,20.86,0.0899999999999998,0.4314477468839878,253747.0,,tushare_legacy_get_k_data,38.75234095146362,-0.46314773000203857,-0.3405493281911878,-0.2451968036217016,21.961499999999997,23.904397578360676,20.01860242163932,16.044150985006162,12.020467555428187,24.091517844162112
000776.SZ,20251205,20.89,21.6,20.83,21.29,20.95,0.3399999999999998,1.6229116945107394,630412.0,,tushare_legacy_get_k_data,43.72844533856523,-0.4326041089980812,-0.3589602843525665,-0.14728764929102944,21.8885,23.81706708465114,19.959932915348862,31.872571244906,18.63783545192079,58.342042830876416
000776.SZ,20251208,21.69,22.18,21.6,21.71,21.29,0.4200000000000017,1.972757162987326,887818.0,,tushare_legacy_get_k_data,49.21717569126874,-0.3702396867414386,-0.3612161648303409,-0.018047043822195352,21.794,23.555867191362562,20.03213280863744,43.626003207559734,26.967224703800436,76.94356021507832
000776.SZ,20251209,21.56,21.66,21.05,21.16,21.71,-0.5500000000000007,-2.533394748963614,585379.0,,tushare_legacy_get_k_data,43.26569837861782,-0.3610340603381843,-0.3611797439319096,0.0002913671874505974,21.695,23.363238592048454,20.026761407951547,38.64111169548272,30.85852036769453,54.2062943510591
000776.SZ,20251210,21.05,21.14,20.81,21.01,21.16,-0.1499999999999985,-0.7088846880907305,427247.0,,tushare_legacy_get_k_data,41.781785703928655,-0.361673138679361,-0.3612784228813999,-0.0007894315959222631,21.593,23.164000954805505,20.021999045194494,31.82134719092791,31.179462642105655,33.10511628857242
000776.SZ,20251211,21.02,21.05,20.61,20.61,21.01,-0.4000000000000021,-1.9038553069966784,357765.0,,tushare_legacy_get_k_data,38.035450713597974,-0.3899610417822288,-0.3670149466615657,-0.04589219024132618,21.45,22.81926257525714,20.080737424742857,21.214231460618606,27.8577189149433,7.927256551969215
000776.SZ,20251212,20.62,21.03,20.58,20.95,20.61,0.3399999999999998,1.649684619116933,455381.0,,tushare_legacy_get_k_data,42.73556282247338,-0.38055742122997316,-0.3697234415752472,-0.021667959309451867,21.355,22.57842960565773,20.131570394342273,21.851154307079085,25.855530712321897,13.84240149659346
000776.SZ,20251215,20.78,21.68,20.72,21.34,20.95,0.3900000000000005,1.861575178997616,643514.0,,tushare_legacy_get_k_data,47.641505255053346,-0.33774196443000193,-0.36332714614619815,0.05117036343239245,21.3005,22.420240594959306,20.180759405040693,30.400769538052742,27.37061032089884,36.461087972360545
000776.SZ,20251216,21.2,21.47,21.18,21.18,21.34,-0.1600000000000001,-0.7497656982193072,357930.0,,tushare_legacy_get_k_data,45.90399262067733,-0.3131117123567506,-0.35328405938830865,0.08034469406311606,21.226499999999998,22.156645687513425,20.29635431248657,32.76717969203518,29.169466777944287,39.96260552021697
000776.SZ,20251217,21.21,22.35,21.17,21.83,21.18,0.6499999999999986,3.0689329556185014,990936.0,,tushare_legacy_get_k_data,53.347763876076996,-0.23839442982236037,-0.330306133475119,0.18382340730551727,21.18,21.85752490729111,20.502475092708888,45.3852761035413,34.57473655314329,67.00635520433734
000776.SZ,20251218,21.73,21.89,21.47,21.62,21.83,-0.2099999999999973,-0.9619789280806108,496575.0,,tushare_legacy_get_k_data,50.91037554087309,-0.19389063946268337,-0.3030230346726319,0.2182647904198971,21.156,21.72711820142579,20.58488179857421,49.842538117991765,39.664003741426114,70.19960687112308
000776.SZ,20251219,21.61,21.86,21.47,21.65,21.62,0.0299999999999975,0.1387604070305161,446908.0,,tushare_legacy_get_k_data,51.25301933672343,-0.15442025511293167,-0.27330247876069186,0.23776444729552038,21.183500000000002,21.79286934612748,20.574130653872526,53.37901787903779,44.235675120630006,71.66570339585334
000776.SZ,20251222,21.6,21.76,21.56,21.6,21.65,-0.0499999999999971,-0.2309468822170769,299846.0,,tushare_legacy_get_k_data,50.618859185213275,-0.12572499381198554,-0.2437869817709506,0.2361239759179301,21.2055,21.841093423502656,20.569906576497345,54.79505146738116,47.75546723621372,68.87421992971605
