trade_date,open,high,low,close,vol
2026-03-03,339.424,347.444,337.124,337.164,400075.0
2026-03-04,334.194,335.114,327.294,331.994,250804.0
2026-03-05,337.674,346.944,335.754,343.344,310061.0
2026-03-06,342.094,350.114,337.754,347.864,209631.0
2026-03-09,341.934,352.944,338.154,350.594,317976.0
2026-03-10,368.094,372.864,359.594,369.394,507417.0
2026-03-11,372.674,396.644,372.074,389.894,575987.0
2026-03-12,393.094,393.994,385.794,388.594,291504.0
2026-03-13,386.974,397.084,386.894,390.094,355826.0
2026-03-16,394.864,406.264,391.094,401.494,373521.0
2026-03-17,408.874,413.094,397.654,398.094,359807.0
2026-03-18,398.454,399.094,389.864,395.114,265300.0
2026-03-19,395.034,407.094,393.094,393.594,292866.0
2026-03-20,398.174,415.174,393.224,406.094,537297.0
2026-03-23,410.424,410.454,391.844,395.084,446141.0
2026-03-24,398.094,404.994,381.094,390.084,364105.0
2026-03-25,386.094,393.594,380.894,390.904,267528.0
2026-03-26,386.934,406.814,385.094,395.594,267637.0
2026-03-27,399.214,411.424,394.824,409.274,302580.0
2026-03-30,406.094,411.944,398.694,406.094,253484.0
2026-03-31,406.094,410.044,394.674,394.794,249256.0
2026-04-01,402.824,402.964,389.094,398.804,231701.0
2026-04-02,400.994,405.084,390.294,394.264,223056.0
2026-04-03,393.094,393.894,378.224,379.554,247515.0
2026-04-07,383.074,386.294,374.584,377.684,172576.0
2026-04-08,389.594,390.744,381.314,384.394,364184.0
2026-04-09,387.194,387.374,379.754,383.084,259552.0
2026-04-10,387.094,412.094,385.774,409.094,507887.0
2026-04-13,411.094,426.424,409.094,420.224,412399.0
2026-04-14,414.594,425.584,407.494,423.884,442208.0
2026-04-15,431.974,432.554,420.164,424.094,373536.0
2026-04-16,434.094,453.094,426.114,447.074,635062.0
2026-04-17,449.054,450.734,434.104,437.294,365358.0
2026-04-20,426.094,430.994,419.104,425.594,529278.0
2026-04-21,428.094,443.224,418.194,440.694,577746.0
2026-04-22,441.01,447.97,433.13,436.35,460254.0
2026-04-23,443.5,443.6,435.0,438.9,354310.0
2026-04-24,442.0,448.45,438.0,444.9,395425.0
2026-04-27,444.63,448.76,433.8,434.88,330613.0
2026-04-28,426.19,433.3,423.0,427.67,350121.0
2026-04-29,432.0,445.15,428.0,445.0,376336.0
2026-04-30,446.5,449.5,436.0,436.0,298121.0
2026-05-06,457.5,465.88,448.63,460.0,473727.0
2026-05-07,468.75,468.75,447.0,451.64,386213.0
2026-05-08,449.0,455.5,436.2,437.0,366049.0
2026-05-11,440.0,450.51,435.1,446.11,341901.0
2026-05-12,446.59,446.85,429.29,431.25,341515.0
2026-05-13,431.01,436.58,427.08,434.05,316858.0
2026-05-14,449.38,450.45,427.0,427.0,347046.0
2026-05-15,428.08,431.5,421.0,423.6,297049.0
2026-05-18,420.58,422.9,414.0,417.23,284983.0
2026-05-19,415.86,419.9,406.8,417.92,260877.0
2026-05-20,417.0,422.99,412.66,414.75,281190.0
2026-05-21,419.87,427.62,411.42,411.63,338672.0
2026-05-22,414.7,416.5,410.0,411.16,277884.0
2026-05-25,411.28,414.5,400.0,402.88,381977.0
2026-05-26,406.19,408.77,400.36,402.5,350627.0
2026-05-27,413.92,428.9,411.29,414.8,533729.0
2026-05-28,420.0,420.58,406.2,415.68,327771.0
2026-05-29,423.0,430.86,416.55,424.0,498119.0
2026-06-01,432.1,438.24,418.18,420.1,386005.0
2026-06-02,425.0,437.75,423.0,433.89,387982.0
2026-06-03,437.0,437.0,420.1,426.42,385526.0
2026-06-04,426.42,426.9,407.18,408.2,431155.0
2026-06-05,407.89,412.65,402.7,403.0,287389.0
2026-06-08,395.8,402.68,390.7,393.02,286526.0
2026-06-09,399.99,401.87,388.0,399.5,277351.0
2026-06-10,395.28,399.0,385.12,388.5,244357.0
2026-06-11,386.98,391.34,380.03,382.2,268654.0
2026-06-12,389.99,399.54,383.3,394.85,414208.0
2026-06-15,402.0,407.9,393.41,398.1,340749.0
2026-06-16,408.88,409.02,398.5,403.53,348393.0
2026-06-17,400.0,403.3,395.58,399.0,250093.0
2026-06-18,400.39,409.89,389.92,391.55,385481.0
2026-06-22,393.0,413.33,386.0,408.98,594648.0
2026-06-23,411.0,414.04,390.73,392.51,373741.0
2026-06-24,392.0,399.27,386.66,395.36,344271.0
2026-06-25,399.88,402.55,392.58,401.9,324046.0
2026-06-26,401.0,409.81,381.0,381.0,465253.0
2026-06-29,386.96,396.0,378.2,392.36,425259.0
2026-06-30,392.49,402.36,390.0,393.01,270383.0
2026-07-01,390.0,391.0,370.0,383.84,440886.0
2026-07-02,387.68,390.99,380.39,382.35,340754.0
2026-07-03,381.96,387.95,379.0,380.0,258849.0
